"gender","class"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Snack"
"f","Dumpling"
"f","Dumpling"
"m","Noodle"
"f","Noodle"
"m","Noodle"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"f","Egg"
"m","Noodle"
"f","Noodle"
"m","Noodle"
"m","Noodle"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"f","Buffet"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"f","Buffet"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"f","Buffet"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"m","Buffet"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"f","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Noodle"
"m","Noodle"
"f","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Ice Cream"
"f","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"f","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"f","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"f","Scallion Pancake"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"f","Noodle"
"m","Noodle"
"f","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Snack"
"m","Snack"
"m","Dumpling"
"m","Dumpling"
"f","Dumpling"
"f","Dumpling"
"m","Dumpling"
"m","Dumpling"
"f","Dumpling"
"m","Dumpling"
"m","Dumpling"
"f","Dumpling"
"m","Noodle"
"m","Noodle"
"f","Noodle"
"f","Noodle"
"m","Dumpling"
"f","Dumpling"
"m","Dumpling"
"m","Dumpling"
"f","Dumpling"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"f","Noodle"
"m","Noodle"
"f","Noodle"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"f","Snack"
"m","Snack"
"f","Snack"
"m","Snack"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Noodle"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Dumpling"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Noodle"
"m","Noodle"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Ice Cream"
"m","Snack"
"m","Snack"
"f","Snack"
"f","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"f","Snack"
"f","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Snack"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"m","Scallion Pancake"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
"f","Dumpling"
